"destino" "tempo" "distancia" "destino.1" "tempo.1" "distancia.1" "destino.2" "tempo.2" "distancia.2" "destino.3" "tempo.3" "distancia.3" "destino.4" "tempo.4" "distancia.4" "destino.5" "tempo.5" "distancia.5" "destino.6" "tempo.6" "distancia.6" "destino.7" "tempo.7" "distancia.7" "destino.8" "tempo.8" "distancia.8" "destino.9" "tempo.9" "distancia.9" "destino.10" "tempo.10" "distancia.10"
"117" 63 0.6 46.2 62 1.3 68.5 53 0.1 2.2 62 1.3 68.5 53 0.1 2.2 53 0.1 2.2 62 1.3 68.5 62 1.3 68.5 62 1.3 68.5 62 1.3 68.5 53 0.1 2.2
"118" 185 0 2.2 185 0 2.2 205 0.1 3.2 185 0 2.2 185 0 2.2 185 0 2.2 185 0 2.2 185 0 2.2 185 0 2.2 185 0 2.2 185 0 2.2
"119" 198 0.2 6.7 173 0.1 3.6 173 0.1 3.6 145 0.1 8.1 145 0.1 8.1 173 0.1 3.6 173 0.1 3.6 173 0.1 3.6 173 0.1 3.6 173 0.1 3.6 173 0.1 3.6
"120" 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2 89 0 3.2
"121" 23 0.1 3.6 12 0.1 7.2 23 0.1 3.6 23 0.1 3.6 23 0.1 3.6 249 0.1 8 23 0.1 3.6 34 0.1 5.4 23 0.1 3.6 23 0.1 3.6 34 0.1 5.4
"122" 108 0.1 9.2 108 0.1 9.2 154 0.1 2.8 245 0.2 14.3 75 0.1 3.2 154 0.1 2.8 75 0.1 3.2 154 0.1 2.8 21 0.2 11 75 0.1 3.2 75 0.1 3.2
"123" 195 0.2 22.2 3 0.1 5.7 195 0.2 22.2 3 0.1 5.7 3 0.1 5.7 3 0.1 5.7 3 0.1 5.7 59 0 1 3 0.1 5.7 59 0 1 3 0.1 5.7
"124" 60 0.1 5 147 0.1 4.1 60 0.1 5 60 0.1 5 65 0.1 10.2 65 0.1 10.2 60 0.1 5 60 0.1 5 147 0.1 4.1 60 0.1 5 60 0.1 5
"125" 20 0.2 6.1 51 0 1 20 0.2 6.1 51 0 1 51 0 1 51 0 1 20 0.2 6.1 20 0.2 6.1 20 0.2 6.1 20 0.2 6.1 2 0.2 9.2
"126" 93 0.1 9.2 11 0 2.2 93 0.1 9.2 93 0.1 9.2 93 0.1 9.2 93 0.1 9.2 93 0.1 9.2 244 0.3 9.5 244 0.3 9.5 93 0.1 9.2 11 0 2.2
"127" 35 0 3.6 35 0 3.6 35 0 3.6 35 0 3.6 35 0 3.6 231 0.1 5 231 0.1 5 231 0.1 5 231 0.1 5 35 0 3.6 138 0.1 7.1
"128" 189 0.1 5.1 189 0.1 5.1 189 0.1 5.1 189 0.1 5.1 201 0.1 4.1 201 0.1 4.1 201 0.1 4.1 189 0.1 5.1 201 0.1 4.1 189 0.1 5.1 201 0.1 4.1
"129" 199 0.1 4.2 199 0.1 4.2 14 0.1 9.2 199 0.1 4.2 175 0 2.2 199 0.1 4.2 199 0.1 4.2 199 0.1 4.2 175 0 2.2 79 0.1 7.8 199 0.1 4.2
"130" 140 0 3 37 0.1 8.5 70 0 4.2 95 0.1 7.6 37 0.1 8.5 234 0.3 16 234 0.3 16 234 0.3 16 234 0.3 16 234 0.3 16 234 0.3 16
"131" 106 0.1 9.9 241 0.6 23.1 36 0.1 3 106 0.1 9.9 36 0.1 3 36 0.1 3 241 0.6 23.1 36 0.1 3 36 0.1 3 16 0.3 7.8 241 0.6 23.1
"132" 92 0.1 8.1 92 0.1 8.1 92 0.1 8.1 92 0.1 8.1 92 0.1 8.1 92 0.1 8.1 92 0.1 8.1 71 0.2 8.1 71 0.2 8.1 71 0.2 8.1 71 0.2 8.1
"133" 220 0.1 3.6 220 0.1 3.6 220 0.1 3.6 42 0.3 9.1 220 0.1 3.6 42 0.3 9.1 42 0.3 9.1 220 0.1 3.6 220 0.1 3.6 220 0.1 3.6 220 0.1 3.6
"134" 145 0.1 5.1 33 0 3.6 33 0 3.6 15 0.1 9.8 173 0.1 4.5 33 0 3.6 145 0.1 5.1 145 0.1 5.1 145 0.1 5.1 33 0 3.6 33 0 3.6
"135" 190 0.1 4.2 203 0.2 8.1 157 0.1 3.6 157 0.1 3.6 203 0.2 8.1 203 0.2 8.1 157 0.1 3.6 157 0.1 3.6 157 0.1 3.6 157 0.1 3.6 157 0.1 3.6
"136" 76 0 2.2 76 0 2.2 167 0.1 10.6 76 0 2.2 76 0 2.2 41 0 3.2 76 0 2.2 76 0 2.2 76 0 2.2 76 0 2.2 76 0 2.2
"137" 151 0 2.2 151 0 2.2 151 0 2.2 151 0 2.2 151 0 2.2 151 0 2.2 148 0 0 57 0.1 4.1 148 0 0 151 0 2.2 148 0 0
"138" 46 0.1 7.1 46 0.1 7.1 46 0.1 7.1 46 0.1 7.1 91 0.1 8.5 46 0.1 7.1 46 0.1 7.1 46 0.1 7.1 46 0.1 7.1 46 0.1 7.1 228 0.1 5
"139" 24 0 2.2 85 0 2.2 24 0 2.2 85 0 2.2 85 0 2.2 85 0 2.2 85 0 2.2 133 0.3 10 85 0 2.2 85 0 2.2 85 0 2.2
"140" 70 0 3 70 0 3 130 0.1 3 70 0 3 68 0.1 7.8 95 0.1 5 70 0 3 70 0 3 70 0 3 70 0 3 70 0 3
"141" 232 0 2.2 232 0 2.2 232 0 2.2 217 0 1 232 0 2.2 232 0 2.2 232 0 2.2 232 0 2.2 232 0 2.2 232 0 2.2 232 0 2.2
"142" 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2 111 0.1 12.2
"143" 227 0 3.2 227 0 3.2 227 0 3.2 233 0.1 7 227 0 3.2 227 0 3.2 227 0 3.2 227 0 3.2 227 0 3.2 227 0 3.2 227 0 3.2
"144" 162 0.1 4.5 237 0 0 237 0 0 120 0.1 10.8 166 0.1 5 166 0.1 5 237 0 0 166 0.1 5 162 0.1 4.5 162 0.1 4.5 162 0.1 4.5
"145" 33 0 3.6 225 0.1 2.8 225 0.1 2.8 33 0 3.6 33 0 3.6 15 0.2 8.1 33 0 3.6 225 0.1 2.8 33 0 3.6 15 0.2 8.1 15 0.2 8.1
"146" 53 0.5 28.8 53 0.5 28.8 62 1.6 93.2 53 0.5 28.8 62 1.6 93.2 105 0.1 9.2 165 1.1 26.4 165 1.1 26.4 165 1.1 26.4 165 1.1 26.4 52 0.3 7
"147" 65 0.1 6.7 65 0.1 6.7 65 0.1 6.7 65 0.1 6.7 124 0 4.1 124 0 4.1 65 0.1 6.7 65 0.1 6.7 65 0.1 6.7 65 0.1 6.7 65 0.1 6.7
"148" 57 0.1 4.1 239 0 4.1 137 0 0 57 0.1 4.1 137 0 0 57 0.1 4.1 151 0.1 2.2 137 0 0 151 0.1 2.2 57 0.1 4.1 151 0.1 2.2
"149" 172 0 3.2 242 0.1 7.8 116 0 3.2 172 0 3.2 7 0.1 2.2 7 0.1 2.2 7 0.1 2.2 115 0.3 6.3 7 0.1 2.2 7 0.1 2.2 115 0.3 6.3
"150" 118 0.1 7.1 205 0.2 4.5 118 0.1 7.1 171 0.1 3.2 118 0.1 7.1 205 0.2 4.5 205 0.2 4.5 205 0.2 4.5 205 0.2 4.5 205 0.2 4.5 205 0.2 4.5
"151" 148 0 2.2 57 0.1 5.1 57 0.1 5.1 148 0 2.2 57 0.1 5.1 148 0 2.2 57 0.1 5.1 148 0 2.2 57 0.1 5.1 148 0 2.2 57 0.1 5.1
"152" 230 0.1 5 230 0.1 5 230 0.1 5 20 0.3 19 209 0.1 12.5 230 0.1 5 230 0.1 5 230 0.1 5 230 0.1 5 230 0.1 5 230 0.1 5
"153" 80 0.1 3.6 80 0.1 3.6 163 0.1 3.6 80 0.1 3.6 163 0.1 3.6 80 0.1 3.6 80 0.1 3.6 163 0.1 3.6 188 0.4 12.1 80 0.1 3.6 163 0.1 3.6
"154" 75 0.1 3.2 75 0.1 3.2 200 0.2 12.4 75 0.1 3.2 122 0.1 2.8 101 0.3 19 122 0.1 2.8 101 0.3 19 75 0.1 3.2 122 0.1 2.8 122 0.1 2.8
"155" 164 0.1 8.9 98 0.1 6.7 238 0.1 6.4 238 0.1 6.4 58 0.1 7.1 181 0.1 5 164 0.1 8.9 98 0.1 6.7 98 0.1 6.7 164 0.1 8.9 98 0.1 6.7
"156" 45 0.1 11 115 0.1 2 45 0.1 11 242 0 1 45 0.1 11 45 0.1 11 242 0 1 45 0.1 11 242 0 1 242 0 1 242 0 1
"157" 217 0.1 8.6 135 0 3.6 190 0 1 190 0 1 135 0 3.6 135 0 3.6 190 0 1 190 0 1 190 0 1 190 0 1 190 0 1
"158" 61 0 3 61 0 3 222 0.2 5.7 61 0 3 61 0 3 61 0 3 61 0 3 222 0.2 5.7 222 0.2 5.7 222 0.2 5.7 222 0.2 5.7
"159" 149 0.1 5 78 0 2.2 78 0 2.2 149 0.1 5 78 0 2.2 78 0 2.2 149 0.1 5 7 0.1 5.8 172 0.1 3 78 0 2.2 7 0.1 5.8
"160" 213 0.1 5.8 63 1 74.9 63 1 74.9 63 1 74.9 63 1 74.9 63 1 74.9 63 1 74.9 63 1 74.9 63 1 74.9 63 1 74.9 63 1 74.9
"161" 153 0.2 19.1 195 0.1 7.3 39 0.1 4.2 195 0.1 7.3 195 0.1 7.3 195 0.1 7.3 39 0.1 4.2 195 0.1 7.3 195 0.1 7.3 195 0.1 7.3 195 0.1 7.3
"162" 8 0 1 144 0.1 4.5 144 0.1 4.5 8 0 1 237 0.1 4.5 237 0.1 4.5 248 0 2.2 248 0 2.2 248 0 2.2 248 0 2.2 248 0 2.2
"163" 247 0.2 23.3 153 0.1 3.6 247 0.2 23.3 153 0.1 3.6 80 0.2 6 153 0.1 3.6 153 0.1 3.6 80 0.2 6 153 0.1 3.6 188 0.7 15.7 80 0.2 6
"164" 98 0 2.2 240 0.1 7.2 240 0.1 7.2 240 0.1 7.2 240 0.1 7.2 240 0.1 7.2 26 0 2 26 0 2 26 0 2 26 0 2 26 0 2
"165" 117 0.3 17.2 117 0.3 17.2 249 0.5 40.5 117 0.3 17.2 249 0.5 40.5 4 0.2 7 53 0.3 15.3 53 0.3 15.3 53 0.3 15.3 53 0.3 15.3 202 0.1 12
"166" 120 0.1 6.1 120 0.1 6.1 120 0.1 6.1 237 0.1 5 120 0.1 6.1 120 0.1 6.1 120 0.1 6.1 120 0.1 6.1 120 0.1 6.1 120 0.1 6.1 120 0.1 6.1
"167" 102 0.1 9.2 102 0.1 9.2 102 0.1 9.2 102 0.1 9.2 102 0.1 9.2 76 0.1 8.5 102 0.1 9.2 38 0.2 6.1 102 0.1 9.2 102 0.1 9.2 102 0.1 9.2
"168" 219 0 3 219 0 3 219 0 3 219 0 3 219 0 3 219 0 3 219 0 3 219 0 3 219 0 3 219 0 3 219 0 3
"169" 112 0 1 112 0 1 112 0 1 112 0 1 112 0 1 112 0 1 112 0 1 112 0 1 112 0 1 112 0 1 112 0 1
"170" 52 0.1 5.1 52 0.1 5.1 52 0.1 5.1 52 0.1 5.1 52 0.1 5.1 12 0.1 6.3 52 0.1 5.1 52 0.1 5.1 52 0.1 5.1 52 0.1 5.1 12 0.1 6.3
"171" 150 0 3.2 150 0 3.2 150 0 3.2 205 0.1 7.1 150 0 3.2 150 0 3.2 150 0 3.2 150 0 3.2 150 0 3.2 150 0 3.2 150 0 3.2
"172" 7 0.1 5 226 0 4.1 87 0 4.2 87 0 4.2 149 0 3.2 159 0.1 3 78 0.1 2.8 116 0 2 226 0 4.1 159 0.1 3 78 0.1 2.8
"173" 119 0.1 3.6 134 0.1 4.5 134 0.1 4.5 134 0.1 4.5 119 0.1 3.6 134 0.1 4.5 134 0.1 4.5 198 0.1 4 134 0.1 4.5 134 0.1 4.5 134 0.1 4.5
"174" 239 0.1 4.5 148 0.1 8.1 239 0.1 4.5 239 0.1 4.5 239 0.1 4.5 239 0.1 4.5 239 0.1 4.5 239 0.1 4.5 239 0.1 4.5 239 0.1 4.5 239 0.1 4.5
"175" 129 0 2.2 129 0 2.2 129 0 2.2 129 0 2.2 199 0.1 6.4 129 0 2.2 129 0 2.2 129 0 2.2 199 0.1 6.4 129 0 2.2 129 0 2.2
"176" 221 0.1 3.6 187 0.1 2 155 0.1 6.3 221 0.1 3.6 238 0.1 10.4 187 0.1 2 187 0.1 2 187 0.1 2 187 0.1 2 187 0.1 2 187 0.1 2
"177" 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6 84 0.1 6
"178" 234 0 2.8 234 0 2.8 234 0 2.8 234 0 2.8 234 0 2.8 179 0 2 179 0 2 179 0 2 72 0.1 4.2 179 0 2 179 0 2
"179" 72 0.1 3.2 72 0.1 3.2 72 0.1 3.2 72 0.1 3.2 72 0.1 3.2 246 0.1 4.5 246 0.1 4.5 246 0.1 4.5 178 0.1 2 72 0.1 3.2 72 0.1 3.2
"180" 127 0.1 5.8 231 0.1 6.1 127 0.1 5.8 193 0.1 11.4 127 0.1 5.8 35 0.1 3 35 0.1 3 35 0.1 3 35 0.1 3 127 0.1 5.8 35 0.1 3
"181" 155 0.1 5 155 0.1 5 98 0.1 9.1 155 0.1 5 98 0.1 9.1 238 0 2 155 0.1 5 155 0.1 5 155 0.1 5 155 0.1 5 155 0.1 5
"182" 191 0 1 43 0.1 3.6 204 0.1 6.1 43 0.1 3.6 43 0.1 3.6 204 0.1 6.1 43 0.1 3.6 43 0.1 3.6 43 0.1 3.6 43 0.1 3.6 204 0.1 6.1
"183" 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4 67 0.1 6.4
"184" 160 0.2 12 213 0.1 7.3 94 0.1 5 213 0.1 7.3 94 0.1 5 213 0.1 7.3 213 0.1 7.3 213 0.1 7.3 213 0.1 7.3 213 0.1 7.3 213 0.1 7.3
"185" 19 0 4 19 0 4 19 0 4 86 0.1 7.8 205 0.1 3.6 19 0 4 19 0 4 19 0 4 19 0 4 19 0 4 19 0 4
"186" 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6 96 0 3.6
"187" 81 0 3.6 221 0.1 5 58 0.1 8.6 81 0 3.6 81 0 3.6 221 0.1 5 221 0.1 5 221 0.1 5 221 0.1 5 221 0.1 5 221 0.1 5
"188" 163 0.3 15.7 247 0.1 7.6 229 0.1 10.3 247 0.1 7.6 247 0.1 7.6 247 0.1 7.6 247 0.1 7.6 247 0.1 7.6 247 0.1 7.6 247 0.1 7.6 247 0.1 7.6
"189" 201 0 1 201 0 1 201 0 1 201 0 1 95 0.2 12.2 70 0.1 12.2 140 0.2 9.2 201 0 1 140 0.2 9.2 201 0 1 140 0.2 9.2
"190" 203 0.1 5.4 157 0 1 203 0.1 5.4 203 0.1 5.4 157 0 1 157 0 1 203 0.1 5.4 203 0.1 5.4 203 0.1 5.4 203 0.1 5.4 203 0.1 5.4
"191" 43 0.1 4.5 45 0.1 2.8 182 0 1 182 0 1 182 0 1 182 0 1 182 0 1 182 0 1 182 0 1 182 0 1 182 0 1
"192" 109 0 2.2 246 0.1 10 235 0.1 9.4 109 0 2.2 109 0 2.2 37 0.1 9.1 13 0.3 8.9 13 0.3 8.9 13 0.3 8.9 13 0.3 8.9 13 0.3 8.9
"193" 4 0.1 5 4 0.1 5 250 0.2 8.2 127 0.2 14.1 250 0.2 8.2 194 0.1 5 250 0.2 8.2 250 0.2 8.2 250 0.2 8.2 250 0.2 8.2 250 0.2 8.2
"194" 193 0.1 5 193 0.1 5 97 0.1 4.1 97 0.1 4.1 97 0.1 4.1 97 0.1 4.1 4 0.1 3.2 193 0.1 5 193 0.1 5 193 0.1 5 193 0.1 5
"195" 223 0.1 9.4 223 0.1 9.4 223 0.1 9.4 223 0.1 9.4 153 0.3 21.6 223 0.1 9.4 163 0.5 23.1 153 0.3 21.6 80 0.5 24.4 153 0.3 21.6 153 0.3 21.6
"196" 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3 236 0.3 10.3
"197" 135 0.1 2.2 190 0.1 5.4 135 0.1 2.2 135 0.1 2.2 190 0.1 5.4 190 0.1 5.4 135 0.1 2.2 135 0.1 2.2 135 0.1 2.2 135 0.1 2.2 135 0.1 2.2
"198" 134 0.2 4.5 119 0.1 6.7 119 0.1 6.7 119 0.1 6.7 134 0.2 4.5 119 0.1 6.7 119 0.1 6.7 134 0.2 4.5 119 0.1 6.7 119 0.1 6.7 119 0.1 6.7
"199" 79 0 3.6 79 0 3.6 175 0.1 6.4 79 0 3.6 79 0 3.6 79 0 3.6 79 0 3.6 79 0 3.6 79 0 3.6 14 0.1 6.1 79 0 3.6
"200" 245 0.2 11.4 245 0.2 11.4 245 0.2 11.4 108 0.1 7.1 245 0.2 11.4 75 0.3 9.2 21 0.1 5.1 21 0.1 5.1 245 0.2 11.4 245 0.2 11.4 245 0.2 11.4
"201" 130 0.2 11.2 140 0.1 10.2 140 0.1 10.2 130 0.2 11.2 189 0 1 189 0 1 189 0 1 140 0.1 10.2 189 0 1 140 0.1 10.2 189 0 1
"202" 88 0.1 6.3 211 0.1 7 211 0.1 7 88 0.1 6.3 88 0.1 6.3 207 0.1 3.6 211 0.1 7 88 0.1 6.3 88 0.1 6.3 88 0.1 6.3 88 0.1 6.3
"203" 157 0.1 6.3 217 0.1 5.1 217 0.1 5.1 232 0.1 8.2 217 0.1 5.1 217 0.1 5.1 217 0.1 5.1 217 0.1 5.1 217 0.1 5.1 217 0.1 5.1 217 0.1 5.1
"204" 44 0 1 44 0 1 43 0.1 4.2 44 0 1 44 0 1 44 0 1 44 0 1 44 0 1 44 0 1 44 0 1 44 0 1
"205" 86 0.1 11.4 118 0.1 3.2 185 0 3.6 19 0.1 6.7 19 0.1 6.7 118 0.1 3.2 118 0.1 3.2 118 0.1 3.2 118 0.1 3.2 118 0.1 3.2 118 0.1 3.2
"206" 99 0.1 10.3 41 0 3 41 0 3 41 0 3 41 0 3 99 0.1 10.3 41 0 3 41 0 3 41 0 3 41 0 3 41 0 3
"207" 202 0 3.6 202 0 3.6 88 0.1 6.4 202 0 3.6 202 0 3.6 52 0.1 6 202 0 3.6 202 0 3.6 202 0 3.6 202 0 3.6 170 0.3 8.6
"208" 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1 196 0.1 7.1
"209" 51 0.1 3.6 125 0.2 4.5 51 0.1 3.6 230 0.1 7.6 20 0.3 9.4 125 0.2 4.5 51 0.1 3.6 51 0.1 3.6 51 0.1 3.6 51 0.1 3.6 51 0.1 3.6
"210" 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2 5 0.2 7.2
"211" 194 0.1 13 88 0.1 7.8 194 0.1 13 194 0.1 13 194 0.1 13 28 0.2 7.1 28 0.2 7.1 97 0.4 8.9 97 0.4 8.9 97 0.4 8.9 97 0.4 8.9
"212" 174 0 3 174 0 3 174 0 3 174 0 3 174 0 3 174 0 3 174 0 3 174 0 3 174 0 3 174 0 3 174 0 3
"213" 62 0.8 76.5 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8 160 0.1 5.8
"214" 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6 169 0.1 3.6
"215" 249 0 2 249 0 2 34 0.1 9.4 73 0 2.2 1 0.1 5.1 73 0 2.2 249 0 2 249 0 2 249 0 2 249 0 2 73 0 2.2
"216" 77 0.1 6.1 139 0.1 9.8 139 0.1 9.8 110 0.1 9.4 24 0.1 10 24 0.1 10 24 0.1 10 24 0.1 10 24 0.1 10 17 0.1 3.2 24 0.1 10
"217" 141 0 1 141 0 1 141 0 1 47 0.1 11.7 141 0 1 141 0 1 141 0 1 141 0 1 141 0 1 141 0 1 141 0 1
"218" 187 0.1 7.3 81 0.1 7.1 81 0.1 7.1 187 0.1 7.3 187 0.1 7.3 81 0.1 7.1 81 0.1 7.1 81 0.1 7.1 81 0.1 7.1 81 0.1 7.1 81 0.1 7.1
"219" 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1 18 0.2 16.1
"220" 42 0.1 6.1 42 0.1 6.1 42 0.1 6.1 133 0.1 3.6 42 0.1 6.1 133 0.1 3.6 133 0.1 3.6 42 0.1 6.1 42 0.1 6.1 42 0.1 6.1 42 0.1 6.1
"221" 58 0 3.6 58 0 3.6 176 0.1 3.6 58 0 3.6 176 0.1 3.6 58 0 3.6 58 0 3.6 58 0 3.6 58 0 3.6 58 0 3.6 58 0 3.6
"222" 152 0.2 6.4 152 0.2 6.4 61 0.1 4.1 30 0.2 12 152 0.2 6.4 158 0.1 5.7 152 0.2 6.4 152 0.2 6.4 152 0.2 6.4 152 0.2 6.4 152 0.2 6.4
"223" 39 0.1 2 39 0.1 2 161 0.1 3.2 39 0.1 2 39 0.1 2 39 0.1 2 195 0.1 9.4 161 0.1 3.2 161 0.1 3.2 161 0.1 3.2 161 0.1 3.2
"224" 10 0.1 4.5 10 0.1 4.5 184 0.1 11 10 0.1 4.5 184 0.1 11 10 0.1 4.5 10 0.1 4.5 10 0.1 4.5 10 0.1 4.5 10 0.1 4.5 10 0.1 4.5
"225" 15 0.1 6.1 15 0.1 6.1 55 0.2 12.2 173 0.1 7.1 15 0.1 6.1 145 0.1 2.8 15 0.1 6.1 33 0 1 15 0.1 6.1 145 0.1 2.8 145 0.1 2.8
"226" 116 0 2.2 159 0.1 7.1 242 0 3.2 116 0 2.2 116 0 2.2 116 0 2.2 116 0 2.2 172 0.1 4.1 116 0 2.2 116 0 2.2 116 0 2.2
"227" 233 0.1 4.1 233 0.1 4.1 233 0.1 4.1 143 0 3.2 233 0.1 4.1 233 0.1 4.1 233 0.1 4.1 233 0.1 4.1 233 0.1 4.1 233 0.1 4.1 233 0.1 4.1
"228" 138 0.1 5 138 0.1 5 138 0.1 5 138 0.1 5 138 0.1 5 138 0.1 5 138 0.1 5 138 0.1 5 138 0.1 5 138 0.1 5 231 0.1 4.5
"229" 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5 142 0.1 4.5
"230" 30 0 4.5 30 0 4.5 30 0 4.5 152 0.1 5 30 0 4.5 30 0 4.5 30 0 4.5 30 0 4.5 30 0 4.5 30 0 4.5 30 0 4.5
"231" 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 228 0.1 4.5 91 0.2 13.4
"232" 27 0.1 4.5 27 0.1 4.5 27 0.1 4.5 141 0 2.2 47 0.1 8.5 27 0.1 4.5 27 0.1 4.5 27 0.1 4.5 27 0.1 4.5 27 0.1 4.5 27 0.1 4.5
"233" 175 0.1 8.1 175 0.1 8.1 79 0.1 11 175 0.1 8.1 129 0.1 8.5 175 0.1 8.1 175 0.1 8.1 175 0.1 8.1 129 0.1 8.5 175 0.1 8.1 175 0.1 8.1
"234" 179 0 4.5 179 0 4.5 179 0 4.5 179 0 4.5 179 0 4.5 178 0.1 2.8 178 0.1 2.8 178 0.1 2.8 179 0 4.5 178 0.1 2.8 178 0.1 2.8
"235" 95 0.2 9.1 130 0.2 4.5 37 0 4.1 37 0 4.1 130 0.2 4.5 130 0.2 4.5 130 0.2 4.5 130 0.2 4.5 130 0.2 4.5 130 0.2 4.5 130 0.2 4.5
"236" 90 0.2 7.8 22 0.3 6.3 90 0.2 7.8 22 0.3 6.3 90 0.2 7.8 22 0.3 6.3 90 0.2 7.8 22 0.3 6.3 22 0.3 6.3 22 0.3 6.3 90 0.2 7.8
"237" 166 0.1 5 166 0.1 5 166 0.1 5 144 0 0 144 0 0 144 0 0 8 0.1 5 144 0 0 166 0.1 5 166 0.1 5 166 0.1 5
"238" 181 0 2 181 0 2 181 0 2 98 0.1 11 181 0 2 98 0.1 11 181 0 2 181 0 2 181 0 2 181 0 2 181 0 2
"239" 137 0 4.1 137 0 4.1 148 0.1 4.1 137 0 4.1 148 0.1 4.1 137 0 4.1 137 0 4.1 151 0.1 4.2 137 0 4.1 137 0 4.1 137 0 4.1
"240" 110 0.2 13 74 0.2 6.7 74 0.2 6.7 74 0.2 6.7 74 0.2 6.7 77 0.1 5 77 0.1 5 77 0.1 5 77 0.1 5 74 0.2 6.7 77 0.1 5
"241" 103 0 2.2 103 0 2.2 75 0.1 12 103 0 2.2 154 0.2 11.2 103 0 2.2 103 0 2.2 75 0.1 12 103 0 2.2 103 0 2.2 103 0 2.2
"242" 156 0 1 156 0 1 115 0.1 3 45 0.3 10 115 0.1 3 156 0 1 45 0.3 10 156 0 1 45 0.3 10 45 0.3 10 45 0.3 10
"243" 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8 25 0.2 8
"244" 132 0.1 10 132 0.1 10 132 0.1 10 132 0.1 10 132 0.1 10 132 0.1 10 132 0.1 10 93 0 1 93 0 1 132 0.1 10 132 0.1 10
"245" 101 0.3 32 101 0.3 32 21 0.2 16.1 21 0.2 16.1 108 0.3 17.1 108 0.3 17.1 101 0.3 32 200 0.5 11.4 108 0.3 17.1 108 0.3 17.1 101 0.3 32
"246" 104 0.3 9.4 178 0.1 6.3 178 0.1 6.3 178 0.1 6.3 178 0.1 6.3 72 0.2 5.8 72 0.2 5.8 72 0.2 5.8 104 0.3 9.4 104 0.3 9.4 48 0.2 12.1
"247" 229 0.1 8.2 229 0.1 8.2 188 0.2 7.6 229 0.1 8.2 229 0.1 8.2 229 0.1 8.2 229 0.1 8.2 229 0.1 8.2 229 0.1 8.2 229 0.1 8.2 229 0.1 8.2
"248" 237 0.1 6.7 8 0 2 8 0 2 162 0 2.2 8 0 2 8 0 2 166 0.1 6.3 8 0 2 8 0 2 8 0 2 8 0 2
"249" 34 0.1 7.8 73 0 4.1 73 0 4.1 215 0 2 215 0 2 215 0 2 34 0.1 7.8 121 0.1 8 34 0.1 7.8 34 0.1 7.8 215 0 2
"250" 105 0.1 9.5 105 0.1 9.5 105 0.1 9.5 105 0.1 9.5 105 0.1 9.5 193 0.1 8.2 105 0.1 9.5 105 0.1 9.5 105 0.1 9.5 105 0.1 9.5 105 0.1 9.5
