"destino" "tempo" "distancia" "destino.1" "tempo.1" "distancia.1" "destino.2" "tempo.2" "distancia.2" "destino.3" "tempo.3" "distancia.3" "destino.4" "tempo.4" "distancia.4" "destino.5" "tempo.5" "distancia.5" "destino.6" "tempo.6" "distancia.6" "destino.7" "tempo.7" "distancia.7" "destino.8" "tempo.8" "distancia.8" "destino.9" "tempo.9" "distancia.9" "destino.10" "tempo.10" "distancia.10"
"29" 50 0.1 9.1 50 0.1 9.1 50 0.1 9.1 50 0.1 9.1 50 0.1 9.1 66 0.1 2 66 0.1 2 66 0.1 2 66 0.1 2 66 0.1 2 66 0.1 2
"30" 209 0 3.2 209 0 3.2 209 0 3.2 209 0 3.2 2 0.1 9.2 209 0 3.2 209 0 3.2 209 0 3.2 209 0 3.2 209 0 3.2 209 0 3.2
"31" 49 0.1 8.6 49 0.1 8.6 49 0.1 8.6 49 0.1 8.6 49 0.1 8.6 56 0.1 11.7 49 0.1 8.6 49 0.1 8.6 49 0.1 8.6 49 0.1 8.6 49 0.1 8.6
"32" 66 0.2 12.8 66 0.2 12.8 66 0.2 12.8 66 0.2 12.8 66 0.2 12.8 29 0.2 11.7 69 0.2 3 69 0.2 3 69 0.2 3 69 0.2 3 69 0.2 3
"33" 225 0 1 145 0 3.6 15 0.1 6.3 225 0 1 225 0 1 225 0 1 225 0 1 15 0.1 6.3 225 0 1 225 0 1 225 0 1
"34" 121 0.1 5.4 23 0.2 8.6 121 0.1 5.4 121 0.1 5.4 121 0.1 5.4 121 0.1 5.4 121 0.1 5.4 23 0.2 8.6 121 0.1 5.4 121 0.1 5.4 249 0.2 7.8
"35" 231 0.1 6.3 180 0.1 3 231 0.1 6.3 231 0.1 6.3 231 0.1 6.3 127 0.1 3.6 127 0.1 3.6 127 0.1 3.6 127 0.1 3.6 231 0.1 6.3 127 0.1 3.6
"36" 131 0.1 3 131 0.1 3 64 0.2 9.2 131 0.1 3 103 0.4 26.5 64 0.2 9.2 131 0.1 3 103 0.4 26.5 241 0.6 26 131 0.1 3 131 0.1 3
"37" 235 0.1 4.1 13 0.1 5.1 13 0.1 5.1 13 0.1 5.1 13 0.1 5.1 13 0.1 5.1 235 0.1 4.1 235 0.1 4.1 235 0.1 4.1 235 0.1 4.1 235 0.1 4.1
"38" 167 0.1 6.1 167 0.1 6.1 99 0.1 4.1 167 0.1 6.1 167 0.1 6.1 167 0.1 6.1 167 0.1 6.1 102 0.2 12.8 167 0.1 6.1 167 0.1 6.1 167 0.1 6.1
"39" 161 0.1 4.2 163 0.2 19.7 80 0.3 18.1 163 0.2 19.7 161 0.1 4.2 163 0.2 19.7 223 0.1 2 223 0.1 2 223 0.1 2 223 0.1 2 223 0.1 2
"40" 47 0 2.2 47 0 2.2 47 0 2.2 227 0.1 5.1 143 0.1 2.8 47 0 2.2 143 0.1 2.8 143 0.1 2.8 143 0.1 2.8 143 0.1 2.8 143 0.1 2.8
"41" 206 0.1 3 136 0.1 3.2 38 0.1 10.3 136 0.1 3.2 136 0.1 3.2 206 0.1 3 136 0.1 3.2 136 0.1 3.2 136 0.1 3.2 136 0.1 3.2 136 0.1 3.2
"42" 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4 82 0.1 10.4
"43" 204 0.1 4.2 204 0.1 4.2 44 0.1 5 204 0.1 4.2 204 0.1 4.2 60 0.1 13 204 0.1 4.2 204 0.1 4.2 204 0.1 4.2 204 0.1 4.2 191 0.1 4.5
"44" 147 0.1 9.4 124 0.1 7.2 124 0.1 7.2 147 0.1 9.4 60 0.1 8.5 43 0.1 5 124 0.1 7.2 124 0.1 7.2 60 0.1 8.5 124 0.1 7.2 124 0.1 7.2
"45" 182 0 3.6 182 0 3.6 191 0 2.8 191 0 2.8 191 0 2.8 191 0 2.8 191 0 2.8 191 0 2.8 191 0 2.8 191 0 2.8 43 0.2 6
"46" 91 0 3.6 91 0 3.6 91 0 3.6 91 0 3.6 114 0.1 6.7 91 0 3.6 91 0 3.6 91 0 3.6 91 0 3.6 91 0 3.6 114 0.1 6.7
"47" 143 0.1 5 143 0.1 5 143 0.1 5 27 0 4.1 27 0 4.1 143 0.1 5 40 0.1 2.2 40 0.1 2.2 40 0.1 2.2 40 0.1 2.2 40 0.1 2.2
"48" 113 0 1.4 104 0 3 113 0 1.4 104 0 3 104 0 3 113 0 1.4 113 0 1.4 113 0 1.4 243 0.1 5.8 243 0.1 5.8 104 0 3
"49" 56 0 4.1 56 0 4.1 56 0 4.1 56 0 4.1 56 0 4.1 31 0.3 8.6 56 0 4.1 56 0 4.1 56 0 4.1 56 0 4.1 56 0 4.1
"50" 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3 218 0.1 7.3
"51" 125 0 1 20 0.1 6.3 125 0 1 2 0.1 8.2 230 0.1 9 20 0.1 6.3 125 0 1 125 0 1 125 0 1 125 0 1 20 0.1 6.3
"52" 207 0.1 6 207 0.1 6 207 0.1 6 207 0.1 6 207 0.1 6 170 0.1 5.1 207 0.1 6 207 0.1 6 207 0.1 6 207 0.1 6 207 0.1 6
"53" 165 0.2 15.3 165 0.2 15.3 165 0.2 15.3 165 0.2 15.3 165 0.2 15.3 165 0.2 15.3 117 0.1 2.2 117 0.1 2.2 117 0.1 2.2 117 0.1 2.2 165 0.2 15.3
"54" 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1 208 0.1 9.1
"55" 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1 177 0.1 8.1
